lower (MeV), upper (MeV), rate
0.000000, 0.100000, 1162.500000
0.100000, 0.200000, 1147.150024
0.200000, 0.300000, 915.250000
0.300000, 0.400000, 444.600006
0.400000, 0.500000, 370.950012
0.500000, 0.600000, 342.100006
0.600000, 0.700000, 297.899994
0.700000, 0.800000, 280.950012
0.800000, 0.900000, 242.649994
0.900000, 1.000000, 232.050003
1.000000, 1.100000, 223.399994
1.100000, 1.200000, 208.399994
1.200000, 1.300000, 191.000000
1.300000, 1.400000, 184.699997
1.400000, 1.500000, 191.649994
1.500000, 1.600000, 169.199997
1.600000, 1.700000, 147.550003
1.700000, 1.800000, 129.150009
1.800000, 1.900000, 178.500000
1.900000, 2.000000, 213.649994
2.000000, 2.100000, 111.949997
2.100000, 2.200000, 80.900002
2.200000, 2.300000, 78.699997
2.300000, 2.400000, 72.650002
2.400000, 2.500000, 75.400002
2.500000, 2.600000, 70.349998
2.600000, 2.700000, 66.500000
2.700000, 2.799999, 66.800003
2.799999, 2.899999, 68.300003
2.899999, 2.999999, 78.900002
2.999999, 3.099999, 84.250000
3.099999, 3.199999, 76.150002
3.199999, 3.299999, 70.250000
3.299999, 3.399999, 79.050003
3.399999, 3.499999, 97.900002
3.499999, 3.599999, 109.650002
3.599999, 3.699999, 87.150002
3.699999, 3.799999, 68.599998
3.799999, 3.899998, 78.900002
3.899998, 3.999998, 107.500000
3.999998, 4.099998, 83.599998
4.099998, 4.199998, 41.500000
4.199998, 4.299998, 26.100000
4.299998, 4.399998, 22.900000
4.399998, 4.499998, 22.049999
4.499998, 4.599998, 18.900000
4.599998, 4.699998, 20.450001
4.699998, 4.799998, 20.400000
4.799998, 4.899998, 16.350000
4.899998, 4.999998, 17.250000
4.999998, 5.099998, 16.500000
5.099998, 5.199997, 15.349999
5.199997, 5.299997, 15.150001
5.299997, 5.399997, 13.800000
5.399997, 5.499997, 13.800000
5.499997, 5.599997, 12.100000
5.599997, 5.699997, 12.600000
5.699997, 5.799997, 12.050000
5.799997, 5.899997, 11.050000
5.899997, 5.999997, 11.300000
5.999997, 6.099997, 8.800000
6.099997, 6.199996, 7.600000
6.199996, 6.299996, 7.100000
6.299996, 6.399996, 6.000000
6.399996, 6.499996, 6.000000
6.499996, 6.599996, 5.050000
6.599996, 6.699996, 5.200000
6.699996, 6.799996, 4.700000
6.799996, 6.899996, 3.700000
6.899996, 6.999996, 3.900000
6.999996, 7.099996, 2.550000
7.099996, 7.199996, 2.250000
7.199996, 7.299995, 2.400000
7.299995, 7.399995, 3.450000
7.399995, 7.499995, 1.550000
7.499995, 7.599995, 1.650000
7.599995, 7.699995, 1.450000
7.699995, 7.799995, 1.250000
7.799995, 7.899995, 0.450000
7.899995, 7.999995, 0.500000
7.999995, 8.099995, 0.100000
8.099995, 8.199995, 0.150000
8.199995, 8.299995, 0.150000
