lower, upper, rate
1000, 1084, 9.975000
1084, 1168, 9.300000
1168, 1252, 8.700000
1252, 1336, 7.850000
1336, 1420, 7.925000
1420, 1504, 7.175000
1504, 1588, 6.125000
1588, 1672, 6.025000
1672, 1756, 5.850000
1756, 1840, 5.000000
1840, 1924, 4.575000
1924, 2008, 4.700000
2008, 2092, 4.250000
2092, 2176, 4.125000
2176, 2260, 3.950000
2260, 2344, 3.775000
2344, 2428, 3.975000
2428, 2512, 3.200000
2512, 2596, 2.925000
2596, 2680, 3.050000
2680, 2764, 2.800000
2764, 2848, 2.575000
2848, 2932, 2.150000
2932, 3016, 2.225000
3016, 3100, 2.000000
3100, 3184, 2.025000
3184, 3268, 1.475000
3268, 3352, 2.325000
3352, 3436, 2.150000
3436, 3520, 2.925000
3520, 3604, 2.850000
3604, 3688, 1.450000
3688, 3772, 1.200000
3772, 3856, 0.850000
3856, 3940, 0.875000
3940, 4024, 0.800000
4024, 4108, 0.925000
4108, 4192, 0.925000
4192, 4276, 0.850000
4276, 4360, 0.575000
4360, 4444, 0.575000
4444, 4528, 0.500000
4528, 4612, 0.600000
4612, 4696, 0.650000
4696, 4780, 0.525000
4780, 4864, 0.600000
4864, 4948, 0.875000
4948, 5032, 0.675000
5032, 5116, 0.550000
5116, 5200, 0.700000
5200, 5284, 0.700000
5284, 5368, 0.650000
5368, 5452, 0.700000
5452, 5536, 0.575000
5536, 5620, 0.325000
5620, 5704, 0.775000
5704, 5788, 0.650000
5788, 5872, 0.725000
5872, 5956, 1.125000
5956, 6040, 0.625000
6040, 6124, 0.750000
6124, 6208, 0.725000
6208, 6292, 0.550000
6292, 6376, 0.500000
6376, 6460, 0.575000
6460, 6544, 0.375000
6544, 6628, 0.700000
6628, 6712, 0.525000
6712, 6796, 0.525000
6796, 6880, 0.300000
6880, 6964, 0.275000
6964, 7048, 0.275000
7048, 7132, 0.225000
7132, 7216, 0.225000
7216, 7300, 0.125000
7300, 7384, 0.175000
7384, 7468, 0.125000
7468, 7552, 0.250000
7552, 7636, 0.250000
7636, 7720, 0.050000
7720, 7804, 0.175000
7804, 7888, 0.150000
7888, 7972, 0.200000
7972, 8056, 0.225000
