top, rate,unreduced
8192,362.2,362.2
8312,375.8,375.8
8432,371.1,371.1
8552,370.4,370.4
8672,382.6,382.6
8792,396.8,396.8
8912,395.5,395.5
9032,400.7,400.7
9152,393.4,393.4
9272,424,424
9392,410.1,410.1
9512,417.4,417.4
9632,405.7,405.7
9752,424.8,424.8
9872,430.8,430.8
9992,404.6,404.6
10112,421.6,421.6
10232,429.6,429.6
10352,435.6,435.6
10472,426.1,426.1
10592,416.6,416.6
10712,427.5,427.5
10832,427.7,427.7
10952,427.1,427.1
11072,432.3,432.3
11192,438.5,438.5
11312,430.6,430.6
11432,429.7,429.7
11552,441.9,441.9
11672,435.2,435.2
11792,447.3,447.3
11912,435.4,435.4
12032,432.3,432.3
12152,441.9,441.9
12272,434,434
12392,434.7,434.7
12512,431.6,431.6
12632,427.7,427.7
12752,454.7,454.7
12872,431.1,431.1
12992,437.4,437.4
13112,430,430
13232,431.7,431.7
13352,427.6,427.6
13472,438.6,438.6
13592,439.8,439.8
13712,441.3,441.3
13832,425.5,425.5
13952,438.7,438.7
14072,436.5,436.5
14192,431.8,431.8
14312,422.8,422.8
14432,436.4,436.4
14552,444,444
14672,431.4,431.4
14792,428.8,428.8
14912,439.2,439.2
15032,428.1,428.1
15152,439.2,439.2
15272,444,444
15392,437.8,437.8
15512,427.1,427.1
15632,431.6,431.6
15752,435.5,435.5
15872,443,443
15992,438.6,438.6
16112,431.1,431.1
16232,495.4,495.4
16352,508,508
16472,498.5,498.5
16592,498.9,498.9
16712,504.5,504.5
16832,491.6,491.6
16952,505.7,505.7
17072,500.9,500.9
17192,500.1,500.1
17312,505.7,505.7
17432,491.6,491.6
17552,509,509
17672,502.1,502.1
17792,501.2,501.2
17912,491.9,491.9
18032,501.2,501.2
18152,505.3,505.3
18272,501.8,501.8
18392,521.6,521.6
18512,499.3,499.3
18632,492.2,492.2
18752,483.8,483.8
18872,497.8,497.8
18992,491.9,491.9
19112,490.7,490.7
19232,490.7,490.7
19352,498.1,498.1
19472,512.2,512.2
19592,496.4,496.4
19712,494.1,494.1
19832,509.7,509.7
19952,496.2,496.2
20072,496.2,496.2
