top, rate, uncut
4192, 0.300000, 0.300000
4232, 0.100000, 0.100000
4272, 5.500000, 5.500000
4312, 10.600000, 10.600000
4352, 17.400000, 17.400000
4392, 18.200000, 18.200000
4432, 27.700000, 27.700000
4472, 31.500000, 31.500000
4512, 38.100000, 38.100000
4552, 47.000000, 47.000000
4592, 47.300000, 47.300000
4632, 54.600000, 54.600000
4672, 59.300000, 59.300000
4712, 61.900000, 61.900000
4752, 69.600000, 69.600000
4792, 72.000000, 72.000000
4832, 81.100000, 81.100000
4872, 81.500000, 81.500000
4912, 95.100000, 95.100000
4952, 88.200000, 88.200000
4992, 106.300000, 106.300000
5032, 104.500000, 104.500000
5072, 102.300000, 102.300000
5112, 111.900000, 111.900000
5152, 120.000000, 120.000000
5192, 123.500000, 123.500000
5232, 129.800000, 129.800000
5272, 133.000000, 133.000000
5312, 129.500000, 129.500000
5352, 148.500000, 148.500000
5392, 146.500000, 146.500000
5432, 150.000000, 150.000000
5472, 143.600000, 143.600000
5512, 154.500000, 154.500000
5552, 164.100000, 164.100000
5592, 171.800000, 171.800000
5632, 175.300000, 175.300000
5672, 173.800000, 173.800000
5712, 170.400000, 170.400000
5752, 181.100000, 181.100000
5792, 194.300000, 194.300000
5832, 190.600000, 190.600000
5872, 190.800000, 190.800000
5912, 199.700000, 199.700000
5952, 203.500000, 203.500000
5992, 200.800000, 200.800000
6032, 208.100000, 208.100000
6072, 223.000000, 223.000000
6112, 206.700000, 206.700000
6152, 220.700000, 220.700000
6192, 222.500000, 222.500000
6232, 226.500000, 226.500000
6272, 213.300000, 213.300000
6312, 230.200000, 230.200000
6352, 246.800000, 246.800000
6392, 239.000000, 239.000000
6432, 239.700000, 239.700000
6472, 243.600000, 243.600000
6512, 259.500000, 259.500000
6552, 250.100000, 250.100000
6592, 248.800000, 248.800000
6632, 266.100000, 266.100000
6672, 272.200000, 272.200000
6712, 271.900000, 271.900000
6752, 265.700000, 265.700000
6792, 266.400000, 266.400000
6832, 265.800000, 265.800000
6872, 274.100000, 274.100000
6912, 289.800000, 289.800000
6952, 287.700000, 287.700000
6992, 288.400000, 288.400000
7032, 297.400000, 297.400000
7072, 292.400000, 292.400000
7112, 298.000000, 298.000000
7152, 296.500000, 296.500000
7192, 299.700000, 299.700000
7232, 298.900000, 298.900000
7272, 315.200000, 315.200000
7312, 312.500000, 312.500000
7352, 325.400000, 325.400000
7392, 325.900000, 325.900000
7432, 313.100000, 313.100000
7472, 328.800000, 328.800000
7512, 323.600000, 323.600000
7552, 319.300000, 319.300000
7592, 340.300000, 340.300000
7632, 337.300000, 337.300000
7672, 335.800000, 335.800000
7712, 331.400000, 331.400000
7752, 339.600000, 339.600000
7792, 335.500000, 335.500000
7832, 336.300000, 336.300000
7872, 352.100000, 352.100000
7912, 352.700000, 352.700000
7952, 355.900000, 355.900000
7992, 364.300000, 364.300000
8032, 359.500000, 359.500000
8072, 360.800000, 360.800000
8112, 359.000000, 359.000000
8152, 362.900000, 362.900000
8192, 358.500000, 358.500000
8232, 369.200000, 369.200000
